Course name,Day,Start time,Duration,Type of meet,Course category,Credits,Participants
Advanced Algorithms,Tuesday,15:30,1.5,Lecture,CS,4,
Advanced Algorithms,Friday,15:30,1.5,Lecture,CS,4,
Advanced Bioinformatics,Tuesday,15:30,1.5,Lecture,SC,4,
Advanced Bioinformatics,Friday,15:30,1.5,Lecture,SC,4,
Advanced Bioinformatics,Wednesday,12:00,1,Tutorial,SC,4,
Advanced Optimization: Theory and Applications,Monday,17:00,1.5,Lecture,CS,4,
Advanced Optimization: Theory and Applications,Thursday,17:00,1.5,Lecture,CS,4,
Advanced Structural Analysis,Tuesday,11:30,1.5,Lecture,CE,4,
Advanced Structural Analysis,Friday,11:30,1.5,Lecture,CE,4,
Advanced Structural Analysis,Tuesday,10:30,1,Tutorial,CE,4,
Advances in Robotics & Control,Monday,8:30,1.5,Lecture,EC,4,
Advances in Robotics & Control,Thursday,8:30,1.5,Lecture,EC,4,
Behavioral Research: Statistical Methods,Monday,14:30,1.5,Lecture,CS,4,
Behavioral Research: Statistical Methods,Thursday,14:30,1.5,Lecture,CS,4,
Biomolecular Structures (H2),Monday,11:30,1.5,Lecture,SC,2,
Biomolecular Structures (H2),Thursday,11:30,1.5,Lecture,SC,2,
Business Finance (H1),Saturday,2,3,Lecture,PD,2,
Cognitive Neuroscience,Tuesday,15:30,1.5,Lecture,CS,4,
Cognitive Neuroscience,Friday,15:30,1.5,Lecture,CS,4,
Cognitive Science and AI,Tuesday,15:30,1.5,Lecture,CS,4,
Cognitive Science and AI,Friday,15:30,1.5,Lecture,CS,4,
Communication Theory,Monday,8:30,1.5,Lecture,EC,4,
Communication Theory,Thursday,8:30,1.5,Lecture,EC,4,
Communication Theory,Wednesday,9:00,1,Tutorial,EC,4,
Communication and Controls in IoT (H1),Monday,11:30,1.5,Lecture,EC,2,
Communication and Controls in IoT (H1),Thursday,11:30,1.5,Lecture,EC,2,
Compilers,Wednesday,11:30,1.5,Lecture,CS,4,
Compilers,Saturday,11:30,1.5,Lecture,CS,4,
Compilers,Tuesday,18:30,1,Tutorial,CS,4,
Comprehension of Indian Music,Tuesday,11:30,1.5,Lecture,HS,4,
Comprehension of Indian Music,Friday,11:30,1.5,Lecture,HS,4,
Computational Social Science,Monday,8:30,1.5,Lecture,CS,4,
Computational Social Science,Thursday,8:30,1.5,Lecture,CS,4,
Computer Graphics (H1),Wednesday,10:00,1.5,Lecture,CS,2,
Computer Graphics (H1),Saturday,10:00,1.5,Lecture,CS,2,
Computer Graphics (H1),Wednesday,12:00,1,Tutorial,CS,2,
Computer Systems Organization,Monday,14:00,1.5,Lecture,CS,4,
Computer Systems Organization,Thursday,14:00,1.5,Lecture,CS,4,
Computer Vision,Tuesday,15:30,1.5,Lecture,CS,4,
Computer Vision,Friday,15:30,1.5,Lecture,CS,4,
Computer Vision,Monday,18:30,1,Tutorial,CS,4,
Computing Tools,Tuesday,14:00,1.5,Lecture,CS,4,
Computing Tools,Friday,14:00,1.5,Lecture,CS,4,
Computing Tools,Friday,8:30,3,Tutorial,CS,4,
Convergence & Divergence in Indian Languages,Wednesday,11:30,1.5,Lecture,CL,4,
Convergence & Divergence in Indian Languages,Saturday,11:30,1.5,Lecture,CL,4,
Data Foundation Systems,Wednesday,11:30,1.5,Lecture,CS,4,
Data Foundation Systems,Saturday,11:30,1.5,Lecture,CS,4,
Data Visualisation (H2) ,Monday,10:00,1.5,Lecture,CS,2,
Data Visualisation (H2) ,Thursday,10:00,1.5,Lecture,CS,2,
Design and Analysis of Software Systems,Monday,8:30,1.5,Lecture,CS,4,
Design and Analysis of Software Systems,Thursday,8:30,1.5,Lecture,CS,4,
Design and Analysis of Software Systems,Friday,2,1,Tutorial,CS,4,
Design of Hydraulic Structures,Wednesday,10:00,1.5,Lecture,CE,4,
Design of Hydraulic Structures,Saturday,10:00,1.5,Lecture,CE,4,
Design of Hydraulic Structures,Wednesday,12:00,1,Tutorial,CE,4,
Design of Wearable Systems (H2),Wednesday,8:30,1.5,Lecture,PD,2,
Design of Wearable Systems (H2),Saturday,8:30,1.5,Lecture,PD,2,
Digital Signal Analysis (H2),Tuesday,10:00,1.5,Lecture,CS,2,
Digital Signal Analysis (H2),Friday,10:00,1.5,Lecture,CS,2,
Digital VLSI Design,Monday,14:00,1.5,Lecture,EC,4,
Digital VLSI Design,Thursday,14:00,1.5,Lecture,EC,4,
Disaster Management,Monday,10:00,1.5,Lecture,CE,4,
Disaster Management,Thursday,10:00,1.5,Lecture,CE,4,
Distributed Systems,Monday,14:00,1.5,Lecture,CS,4,
Distributed Systems,Thursday,14:00,1.5,Lecture,CS,4,
Dynamical Processes in Complex Networks,Monday,11:30,1.5,Lecture,SC,4,
Dynamical Processes in Complex Networks,Thursday,11:30,1.5,Lecture,SC,4,
Earthquake Engineering,Monday,14:00,1.5,Lecture,CE,4,
Earthquake Engineering,Thursday,14:00,1.5,Lecture,CE,4,
Earthquake Engineering,Saturday,12:00,1,Tutorial,CE,4,
Electronics Workshop II,Monday,10:00,3,Lab,EC,4,UG3
Electronics Workshop II,Wednesday,10:00,3,Lab,EC,4,UG2
Electronics Workshop II,Thursday,10:00,3,Lab,EC,4,UG3
Electronics Workshop II,Monday,14:00,3,Lab,EC,4,UG2
Exploring Masculinities (H2),Tuesday,11:30,1.5,Lecture,HS,2,
Exploring Masculinities (H2),Friday,11:30,1.5,Lecture,HS,2,
Flexible Electronics,Tuesday,15:30,1.5,Lecture,EC,4,
Flexible Electronics,Friday,15:30,1.5,Lecture,EC,4,
"Gender, Kinship, and State Law (H2)",Wednesday,11:30,1.5,Lecture,HS,2,
"Gender, Kinship, and State Law (H2)",Saturday,11:30,1.5,Lecture,HS,2,
Growth and Development,Tuesday,17:00,1.5,Lecture,HS,4,
Growth and Development,Friday,17:00,1.5,Lecture,HS,4,
Human Computer Interaction (H1),Wednesday,8:30,1.5,Lecture,PD,2,
Human Computer Interaction (H1),Saturday,8:30,1.5,Lecture,PD,2,
Hydro Informatics,Monday,10:00,1.5,Lecture,CS,4,
Hydro Informatics,Thursday,10:00,1.5,Lecture,CS,4,
Information Security Audit and Assurance,Monday,8:30,1.5,Lecture,CS,4,
Information Security Audit and Assurance,Thursday,8:30,1.5,Lecture,CS,4,
Information-Theoretic Methods in Computer Science,Tuesday,14:00,1.5,Lecture,CS,4,
Information-Theoretic Methods in Computer Science,Friday,14:00,1.5,Lecture,CS,4,
Internals of Application Servers,Monday,11:30,1.5,Lecture,CS,4,
Internals of Application Servers,Thursday,11:30,1.5,Lecture,CS,4,
Internet and Democracy,Monday,15:30,1.5,Lecture,HS,4,
Internet and Democracy,Thursday,15:30,1.5,Lecture,HS,4,
Intro to Bio Electronics (H2),Tuesday,10:00,1.5,Lecture,EC,2,
Intro to Bio Electronics (H2),Friday,10:00,1.5,Lecture,EC,2,
Intro to Human Sciences,Tuesday,14:00,1.5,Lecture,HS,4,
Intro to Human Sciences,Friday,14:00,1.5,Lecture,HS,4,
Intro to Processor Architecture (H1),Tuesday,11:30,1.5,Lecture,EC,2,
Intro to Processor Architecture (H1),Friday,11:30,1.5,Lecture,EC,2,
Intro to UAV Design,Monday,17:00,1.5,Lecture,EC,4,
Intro to UAV Design,Thursday,17:00,1.5,Lecture,EC,4,
Introduction to Algorithms Engineering (H2),Tuesday,8:30,1.5,Lecture,CS,2,
Introduction to Algorithms Engineering (H2),Friday,8:30,1.5,Lecture,CS,2,
Introduction to Brain and Cognition (H2),Wednesday,11:30,1.5,Lecture,CS,2,
Introduction to Brain and Cognition (H2),Saturday,11:30,1.5,Lecture,CS,2,
Introduction to Coding Theory (H2),Monday,11:30,1.5,Lecture,EC,2,
Introduction to Coding Theory (H2),Thursday,11:30,1.5,Lecture,EC,2,
Introduction to Existential Philosophy,Monday,15:30,1.5,Lecture,HS,4,
Introduction to Existential Philosophy,Thursday,15:30,1.5,Lecture,HS,4,
Introduction to Film,Tuesday,17:00,1.5,Lecture,HS,4,
Introduction to Film,Friday,17:00,1.5,Lecture,HS,4,
Introduction to Game Theory,Tuesday,10:00,1.5,Lecture,CS,4,
Introduction to Game Theory,Friday,10:00,1.5,Lecture,CS,4,
Introduction to Information Security (H1),Monday,15:30,1.5,Lecture,CS,2,
Introduction to Information Security (H1),Thursday,15:30,1.5,Lecture,CS,2,
Introduction to NLP,Monday,10:00,1.5,Lecture,CS,4,
Introduction to NLP,Thursday,10:00,1.5,Lecture,CS,4,
